kraken_pluspfp_100_report_bracken_species	kraken_pluspfp_105_report_bracken_species	kraken_pluspfp_110_report_bracken_species	kraken_pluspfp_111_report_bracken_species	kraken_pluspfp_112_report_bracken_species	kraken_pluspfp_117_report_bracken_species	kraken_pluspfp_121_report_bracken_species	kraken_pluspfp_122_report_bracken_species	kraken_pluspfp_123_report_bracken_species	kraken_pluspfp_129_report_bracken_species	kraken_pluspfp_133_report_bracken_species	kraken_pluspfp_134_report_bracken_species	kraken_pluspfp_135_report_bracken_species	kraken_pluspfp_140_report_bracken_species	kraken_pluspfp_141_report_bracken_species	kraken_pluspfp_145_report_bracken_species	kraken_pluspfp_146_report_bracken_species	kraken_pluspfp_147_report_bracken_species	kraken_pluspfp_152_report_bracken_species	kraken_pluspfp_153_report_bracken_species	kraken_pluspfp_157_report_bracken_species	kraken_pluspfp_158_report_bracken_species	kraken_pluspfp_159_report_bracken_species	kraken_pluspfp_164_report_bracken_species	kraken_pluspfp_165_report_bracken_species	kraken_pluspfp_169_report_bracken_species	kraken_pluspfp_170_report_bracken_species	kraken_pluspfp_171_report_bracken_species	kraken_pluspfp_176_report_bracken_species	kraken_pluspfp_177_report_bracken_species	kraken_pluspfp_181_report_bracken_species	kraken_pluspfp_182_report_bracken_species	kraken_pluspfp_183_report_bracken_species	kraken_pluspfp_188_report_bracken_species	kraken_pluspfp_98_report_bracken_species	kraken_pluspfp_99_report_bracken_species	taxonomy
145971	412	838	806	913	520	905	1034	925	547	735	549	1072	925	699	670	524	1082	620	656	983	566	1003	474	1022	1682	685	1025	455	791	420	611	682	556	688	591	604	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Glomerellales; f__Glomerellaceae; g__Colletotrichum; s__lupini
2587410	783	2143	1467	1142	768	1447	1098	1258	996	1090	1325	1141	1116	1089	1025	1396	1532	982	857	1669	981	1281	924	1230	2390	1452	1667	898	1023	769	1209	933	930	984	1129	1026	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Thermothielavioides; s__terrestris
78579	703	1851	1210	1100	645	1350	1147	1181	887	1098	1034	1180	1112	889	928	1208	1295	810	810	1600	873	1357	754	1319	2309	1253	1572	759	1036	677	1169	836	789	949	895	850	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Thermothelomyces; s__thermophilus
5141	362	2470	774	829	576	1003	1721	900	525	649	766	927	817	950	674	1935	1149	605	1185	990	1958	1092	531	1098	1887	1538	1232	478	978	449	1048	485	540	685	570	558	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Sordariaceae; g__Neurospora; s__crassa
1578925	263	470	419	453	324	481	385	370	366	406	324	404	325	357	354	391	433	344	353	450	300	415	298	363	633	408	506	329	345	232	408	329	335	339	309	353	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Magnaporthales; f__Pyriculariaceae; g__Pyricularia; s__pennisetigena
318829	258	500	433	441	308	460	339	386	355	320	312	408	332	343	389	372	487	310	300	405	380	433	271	395	655	374	475	383	330	275	421	301	321	345	320	374	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Magnaporthales; f__Pyriculariaceae; g__Pyricularia; s__oryzae
148305	184	360	374	318	248	376	304	312	285	306	288	327	290	277	280	298	423	289	288	380	261	329	215	326	497	296	440	230	287	218	345	262	270	257	282	291	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Magnaporthales; f__Pyriculariaceae; g__Pyricularia; s__grisea
40559	319	531	403	737	412	439	1160	482	309	395	289	970	752	664	414	239	731	431	549	522	309	637	324	709	736	329	388	318	666	276	359	484	425	585	240	385	k__Eukaryota; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Sclerotiniaceae; g__Botrytis; s__cinerea
1069201	400	597	618	681	353	596	676	733	427	429	410	973	928	557	407	346	537	402	607	662	400	808	261	840	699	526	631	280	526	269	485	422	430	415	315	393	k__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__luchuensis
746128	229	402	358	404	207	420	414	343	222	317	248	522	405	408	293	268	408	296	329	362	718	405	211	481	468	369	365	245	337	165	398	243	225	294	223	272	k__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__fumigatus
